Tỉnh giao,LV-2,Kho Đến,Loại kho
"Trà Vinh","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"Sóc Trăng","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"An Giang","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"Cà Mau","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Cần Thơ","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Bến Tre","Bến Tre","Bến Tre","Nội vùng"
"Vĩnh Long","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Hậu Giang","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Kon Tum","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển"
"Gia Lai","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển"
"Quảng Bình","Kho Trung Chuyển Quảng Bình","Kho Trung Chuyển Quảng Bình","Kho Trung Chuyển"
"Đà Nẵng","Kho Trung Chuyển Đà Nẵng","Kho Trung Chuyển Đà Nẵng","Kho Trung Chuyển"
"Quảng Nam","Kho Trung Chuyển Đà Nẵng","Kho Trung Chuyển Đà Nẵng","Kho Trung Chuyển"
"Quảng Ngãi","Kho Chuyển Tiếp Quảng Ngãi","Kho Chuyển Tiếp Quảng Ngãi","Kho Chuyển Tiếp"
"Quảng Trị","Kho Trung Chuyển Quảng Bình","Kho Trung Chuyển Quảng Bình","Kho Trung Chuyển"
"Thừa Thiên Huế","Kho Trung Chuyển Đà Nẵng","Kho Trung Chuyển Đà Nẵng","Kho Trung Chuyển"
"Bưu Cục Đường Tuyến Tránh-Phú Quốc-Kiên Giang","Phú Quốc","Phú Quốc","Phú Quốc"
"Bưu Cục 555 Nguyễn Văn Cừ-Phú Quốc-Kiên Giang","Phú Quốc","Phú Quốc","Phú Quốc"
"Bưu Cục Ngã 3 Bãy Vòng 973-Đặc Khu Phú Quốc-Kiên Giang","Phú Quốc","Phú Quốc","Phú Quốc"
"Bưu Cục Xã Cửa Cạn-Phú Quốc-Kiên Giang","Phú Quốc","Phú Quốc","Phú Quốc"
"Điểm xử lý hàng Thổ Châu-Phú Quốc-Kiên Giang","Phú Quốc","Phú Quốc","Phú Quốc"
"Key Account Warehouse Ho Chi Minh","Key Account Warehouse Ho Chi Minh","Key Account Warehouse Ho Chi Minh","Kho KHL"
"Kho Giao Hàng Nặng - Bến Cát - Bình Dương","Kho Giao Hàng Nặng - Bến Cát - Bình Dương","Kho Giao Hàng Nặng - Bến Cát - Bình Dương","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Tân Tạo - HCM","Kho Giao Hàng Nặng - Tân Tạo - HCM","Kho Giao Hàng Nặng - Tân Tạo - HCM","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Thủ Dầu Một - Bình Dương","Kho Giao Hàng Nặng - Thủ Dầu Một - Bình Dương","Kho Giao Hàng Nặng - Thủ Dầu Một - Bình Dương","Kho Giao Hàng Nặng"
